id,created_at,author,location,retweet_count
c5e1abf73a10a1ab95ea9aacf91de6b7e2a66a7d81ffc806ac2dba803081923c,2016-04-18 07:25:33,36acd110b38f34c27604c0390d329941303990d40377fb0fc4a6277aade4b329,,3
cbcf078047133867ffe33c1fa015b7311172afd6f9c76a905ab7daa9bfd41d29,2016-04-18 07:22:09,bda4eefc51600e10437ce7df46155cafe1ed4f40c4529d162f7a2355d0d6fe84,,1
c3f6f51efc52daf384938669fee524c88640f8ee720b50c237e7b0a88214ea45,2016-04-18 07:14:32,999ab80e05217d4bc8e10fb6fc25b41e6ef5e8979cb88e76a31a3c6a87bd4a48,Sweden,3
b4508ca922d94d4cca8718e7a57b135c91505d11d83c395b5f83a13db2e80a73,2016-04-18 06:51:13,53dd1d3f11443f789d471129be251faeff807881eca3572887f3b35c3b5d604b,"Stockholm, Sweden",1
de3a62ee185ea181dfc4ee8fee5f973929003f9bd3c3177b9916b93e7af4aa86,2016-04-18 06:49:14,c84379576c1f0a5609c0436a93dfe1ec1d0ec88ae8a68dcdb5eee304d463ad5e,"Slussen, Stockholm",3
cdd502d8e21600fae32c2adb9ef721b74887e6fa6ec51391f9dd08671334ba94,2016-04-18 06:13:48,2a7c6f3d98a3c01d37fed7fd40ea39bbfb755f2b6c5e5c3679a3f4f0d29992a5,Stockholm,3
40d5b3731ed8ee7a690466178225c09a5d219caa4debfd16f07360a058393852,2016-04-17 21:03:32,e8ed05c543ed319032113a622c6b66f0c14ae7c0b7a15d956f15aaeef776909f,Sweden,2
40e3124ce7af28bf210d09637e094fd8c5ea7c73c45379936f1f232822780706,2016-04-17 19:56:06,53dd1d3f11443f789d471129be251faeff807881eca3572887f3b35c3b5d604b,"Stockholm, Sweden",2
bdabeda65d430427d2cb993682b8dacaeff0b6e4f8725f01c95a0091138357d4,2016-04-17 19:36:52,15d16c8a46e8392cb8c04b8ce86849d087aa4455d97966b0cf6bb3426b347548,"Kärrtorp, Stockholm.",4
ac65bfd3d906ea469600b3b603b8a943f3d80b225d8106b1e1a9be7559b4f068,2016-04-17 16:52:44,2bccce4531f7e69c330b0508864552fde8a7b95c8f40cf7d601b4faddc786c55, Finlandsgatan 40 164 74 Kista,47
04c80aa65694ba942dad7ef6017613dfaad4fa18480be68027a46b1fc82626cc,2016-04-17 12:04:13,c6dde26a8e8c7e07f790739f6be5c82c6613643c7aca182fb420ed55e493f739,Härjedalen,11
4741ac760b51fbca08ba5165cd58b701818cf7f21e2a62d46cd9e4ba151a8cda,2016-04-17 09:15:24,1d62568d3cf2d46bd0a99fd8f06cea3d105b992998a91b0a550dc06c7b1f8901,"Stockholm, Sweden. listen:",0
5be6f9b909be7730b665e3aa1043ede7cf6a4a43dc377d9386fb4d79c4996e20,2016-04-17 08:43:38,1eff2a5a23e2b5219a614e4ddabcf278bf645d8adcf9ba0682f9f54b88cc3e6f,"Jönköping, Sverige",47
474f0de342601ab905438806b4128b7ba8c3492b27119af16ab1d2ffd73353fe,2016-04-17 08:08:52,1d8d9a6122db7163dbad72a757ac5f16efd23f8e1c253ee6c4037278671082d6,Dala-Floda,2
d072498183142f3b37568bc087e804cc696968bddaa04a2cb213e8ad75b1b9fd,2016-04-16 20:20:25,41f6a74ff3851b4515a480e507a61c1e8ee6c4a43ce435fdccbcfe10914dd711,"Väderkvarnsgatan 16a, 41703",0
e75ee8e3f4aa426129a70a5084aa5da996b8b915ec10e53b14c56e6c3bc8aeac,2016-04-16 19:43:28,703334f3848d1091f94ac7eea8c97e45d326b5c235d635bc0bc6540ae461a406,"Göteborg, Sverige",47
5f91d4078b31605a304bb9c10fde7d21669a1aa6cfb6a602065bf0e421ab46c5,2016-04-16 19:42:35,530ad542591c579a0bbd33bfcd0d0f317a0838da96a2a0f597a13347200ed761,,9
9d7508f8e587bf1050fd9b611b88786e775cde9b3677fcc627be9550c3d10fee,2016-04-16 18:18:50,928840959c116b0585741bec35f3285741b57695f15b20b1f754f9a6fd3fcf54,,35
be01d4759aca5b24bb4d937bfc5ad5d3dc58c1b9e3538faf5e4c6b7851e20e2c,2016-04-16 15:59:55,813820bed9fdf69580268aae70be0018a6e98e0513ccd635252d7b03979bf869,,47
810a63033193de80c9a2205fcde18b52203512e7cc202fee88e63194900f5b80,2016-04-16 15:54:13,f41637080a3c63bbaa1a085080748caca1f1e4886abd8328aba364bc8b22ee81,Uppsnärjd i det blå,47
77c26c6e4ef16e2720d482fdc0973cb304993cae2c106127d10071431085862f,2016-04-16 15:53:12,80c2aed589b29bb4d0113939d7a58a27e26623a16504a62ae1e16d13ebdccfab,,0
bb9abd0d85153e92f15f5082fd1651c2f683f7e8704e0696c9e8bbb3f491a8cc,2016-04-16 13:59:24,a322f08fe7bdb3d072d59f79fda64ea23f5374ee3ea78b6d6f011bcfb51939cb,,2
b2213ae648d092837fccbd14dca58743a59b599ce1fc02a157f8716da310133b,2016-04-16 12:51:28,5ae674176f0b5287a129bcffafee5a6dac5c68a7713f7703769218830d186ca3,Skåne,2
179fbe97838ed105fb6ce4c29622262926534b80a27c3ac5e25f51ee8d66cb07,2016-04-16 12:26:06,419b7e8db53bff76d41d1c1169cae0af16bb4ffa7afff62e8787dafbca308d29,"Stockholm, Sverige",10
e711e4fd92272fac3f1af5d17e04feacca8834b51d5c74810f769255e9f6ee6a,2016-04-16 12:25:58,419b7e8db53bff76d41d1c1169cae0af16bb4ffa7afff62e8787dafbca308d29,"Stockholm, Sverige",15
2c793d03f035b81534eeec53dbc592a3dee72944b6400e4d835b76c1eab84876,2016-04-16 12:09:44,54a9fac10eced9cf82bb4eee9f35c5b8b1160e51a32eb976f360bd912f78ef50,"Göteborg, Sverige",11
db574df4712c994b1595dedbc059036cdcb5115751378309d42982115c692137,2016-04-16 10:25:48,a0f30ef22433635cf1f958d4e839822c09136ea86b5dcb2449ad53ce2e7c82ce,Stockholm,0
baaef050126687a157bac83ef6ce98000d55aa68b5aec03ad4f4a72c704da235,2016-04-16 10:23:21,d6753f6789cb8790be90f33d8c4cf48497f2c7e4009e16c249ff8fcfb705fa9c,"Göteborg, Sverige",1
eab39686ed0902f3a5bc7b38c7cf35a4096ef5397ee026fefa4f4da18af7af69,2016-04-16 10:21:29,fea96c91090c630e525ace245674430dae8e5596601a22b27fa95282d0fe6823,"Uppsala, Sweden",0
363f2253513e69b60005461393633fd30b0a70ea9b7158d81b64fef54e9de2c2,2016-04-16 10:01:01,f443d121188913b62d38520a9f5b3074d99bf3fc317255d20f8ed477a22e055b,Stockholm,1
88f2b3678c5333071f2d344b4707102b52aa58d191a7f0d379e3c7aacd1289a7,2016-04-16 09:18:47,f2def1f98efe24d5ad043ac5193d51a7b758d3e23bb373c456a5a1f4a7a4fc2c,Falkenberg,47
f2dea4636bc93d5665cc4f32249152f4230c5f46569d66a35a5d29d3dcdb4a96,2016-04-16 07:51:35,44a29147534433d27cf004745e6d133155619cada4493391bdbcbb14cbcdf0dd,"Sverige, Iggesund",12
779d2564e2f76bcb3df3aced86b1e03d84822c21136efe64487c40bab6f8af0b,2016-04-16 07:46:49,7a3ddf0fa6c88935596657bcdc0792af36ebc992165a427111e69a490f05b4ab,"Jönköping, Sverige",47
e54e609f638d90eec96d89dc6dce35d0c17b89de606bd3b574dcc8690614544d,2016-04-16 07:26:13,f9daec787b0fc3ce4f78f93643fb782bf4cd9dd7ba16e1b02011167237d64a61,Enånger,12
b0c741aeac837d1cdc49187bcfffac22356bdbeac000d36a5448340fedaabbab,2016-04-16 06:57:07,e46ebb8272a9506b87713bfef29e704bbb3abfc10bf5b2c2a580dd05492a33d3,,47
6894a43b147cdeb494c199587cca44ec3264e49efefe10a5954f9f4e976626f2,2016-04-16 06:54:26,1c758555a435680da846b1294a0c36caf78acbae97deb86d71e393b06e89f420,Stockholm,47
5791863f357c27be7ccd037ce728f6f7a35b16d5308a9e36a7500d010c605eae,2016-04-16 06:48:45,e17dea9985c5c46718e801720436da7ff08c2ee83725ea29cbd5b39cbc5a8e06,Malmö/Stockholm,1
bfb90285e0a58b9e3b2709870dfe97d9996f445591d8b2456783a0fea8971eb6,2016-04-16 06:41:52,5ae674176f0b5287a129bcffafee5a6dac5c68a7713f7703769218830d186ca3,Skåne,1
e15e2e9ac8ec9d66b33af682c3ff735db8b3b20c940c790c485293f053bddcba,2016-04-16 05:35:29,75ffcba04c7ddf5802722a7f0e718398027aa005f40ea9815b095d356721b5fd,,47
a5c789ebdbf0d06c8ab38103da6a948ade26997d3f1752bfcd0dec0d984efc1b,2016-04-16 04:48:08,aac741d2d3e8553814ccf5fa1e52292fd8dc38daeae5fe4b581e0661304b62f7,,47
0c2af2d89b8b65ed8d43a7ed654cd5d3186fc7c5e1f15b87178c2f79ccf68d64,2016-04-16 04:47:17,077bf7dd74e3764ffd39602173c1b699b258be932b9e0a1aa31a1c203432aac0,,3
57d03ae318a48e75c6e6e6b8a50d05d5cac15df98f6441ac829d07523a3d409d,2016-04-16 04:27:34,bee94e75a70818889e33c94e2a545d343baf31a477b308a63a30cad7afb99672,Uppsala,3
a45ae8195ca45117043c9f78d81a4395a641de2f988fc1cba594a034ffa1ff14,2016-04-16 03:34:58,50a79c8bccaea0d3d615f1739b78ff9c1476979c7041edb9e280a3f525f8f436,"Stockholm, Sverige",12
ac0520f961220363ebb5d7cdae62123d4748038ef4361e2a1df05b46f9764e71,2016-04-16 03:33:46,d1561371f30d0f7836bced8f5e3c54ca13284801485d3807b7eccefe52b70c42,,5
a387f6d7ad51d63d6e4a78b819f21b1590355889598479ec43c72288e4c402e3,2016-04-16 03:05:52,4a64bc2af9c110deac5efe737da43e99e67712d1beec3bc0d16262db1c88934d,Stockholm,12
be343c121f6c87364f9e0bdd74776d6fe7d8a771c8ccfd0388b51c574284d87c,2016-04-16 03:05:33,4a64bc2af9c110deac5efe737da43e99e67712d1beec3bc0d16262db1c88934d,Stockholm,3
011ab6a7b63cbcd929e1993f8b1e8ff590c30eaab15f0359315eed9962fda068,2016-04-16 03:05:19,4a64bc2af9c110deac5efe737da43e99e67712d1beec3bc0d16262db1c88934d,Stockholm,5
3077f9c5d77c62ba12777158ac2a788a3771e190decdc07f8bab3ef6f2ae6934,2016-04-16 03:04:21,4a64bc2af9c110deac5efe737da43e99e67712d1beec3bc0d16262db1c88934d,Stockholm,2
50eaad21d7bc5b230452127f07a6947769ff26b33235398318f9d84bbb41ece8,2016-04-16 03:03:46,4a64bc2af9c110deac5efe737da43e99e67712d1beec3bc0d16262db1c88934d,Stockholm,1
2a4101aae8ed60b5a27c9e83ca198c23daa219ae026c45f498491329d043b891,2016-04-16 03:00:28,4a64bc2af9c110deac5efe737da43e99e67712d1beec3bc0d16262db1c88934d,Stockholm,47
fe240fa8d2220ff58cd1789f187c9d7c81c9cdfb8dcaf43fdc1fe6d7b5657322,2016-04-16 00:33:18,bc7e61ce61ce4961caa5804cd2486146b0123197ed1aa4f17109475bfdb8ff40,,2
f3a37719075c3b994f0c6e8a73b49bc943a35db8b674737cb223d774b0ea2ae4,2016-04-16 00:31:14,bc7e61ce61ce4961caa5804cd2486146b0123197ed1aa4f17109475bfdb8ff40,,47
9164c84c175d26d79d2000f5bf71570ed85aa32d2888c27b6f068270d40bb2bb,2016-04-16 00:10:58,24f65af5ddbdc66db4068268e7cdb93a3b21ab93341fd5e20cadaaa1930efbd8,,26
f9547555b9fdcc18bd65caaeafb37e0a6fd480789d8bbf580a7acda48346e8cc,2016-04-15 23:47:19,50a79c8bccaea0d3d615f1739b78ff9c1476979c7041edb9e280a3f525f8f436,"Stockholm, Sverige",47
fe833100b949194566a2d97f841793017e5b31ba6ff0f87c6feedf9101c7642b,2016-04-15 23:14:10,f9daec787b0fc3ce4f78f93643fb782bf4cd9dd7ba16e1b02011167237d64a61,Enånger,47
